,sentence #,rule #,text,corrected,ranking
9407,13128,473.0,"As a preliminary matter, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.","First, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.",3
9408,13129,473.0,"As a preliminary matter, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.","To begin with, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.",3
9409,13130,473.0,"As a preliminary matter, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.","To begin, the relevant inquiry here is not whether the NLRA can be construed in vac- uo to confer a nonwaivable right to invoke class or other collective procedures, but rather how the Arbitration Act and the NLRA can be reconciled.",3
9410,13218,473.0,"As a preliminary matter, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.","This Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.",5 - The revision is more concise and maintains the original meaning.
9411,13219,473.0,"As a preliminary matter, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.","First, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.",3
9412,13220,473.0,"As a preliminary matter, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.","To begin with, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.",3
9413,13221,473.0,"As a preliminary matter, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.","To begin, this Court has never squarely recognized an exception to the Arbitration Act's mandate where an arbitration provision either precludes a party from raising, or prevents a party from effectively vindicating, an underlying right.",3
9414,13479,473.0,"As an initial matter, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.",This Court should interpret the FDCPA in such a way as to harmonize it with the Code.,5 - The revision is more concise and maintains the original meaning.
9415,13480,473.0,"As an initial matter, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.","First, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.",4
9416,13481,473.0,"As an initial matter, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.","To begin with, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.",3
9417,13482,473.0,"As an initial matter, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.","To begin, this Court should interpret the FDCPA in such a way as to harmonize it with the Code.",4
9418,13501,473.0,"As a threshold matter, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.",The Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.,5 - The revision is more concise and maintains the original meaning.
9419,13502,473.0,"As a threshold matter, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.","First, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.",4
9420,13503,473.0,"As a threshold matter, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.","To begin with, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.",3
9421,13504,473.0,"As a threshold matter, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.","To begin, the Bankruptcy Code plainly entitles a debt collector to file a proof of claim for an un­ extinguished time-barred debt.",3
9422,13964,473.0,"As a preliminary matter, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.","It is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.",4
9423,13965,473.0,"As a preliminary matter, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.","First, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.",4
9424,13966,473.0,"As a preliminary matter, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.","To begin with, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.",3
9425,13967,473.0,"As a preliminary matter, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.","To begin, it is unclear why that matters under respondent's theory, because the defendant's state of mind is not an element of li- ability under Section 1692e or Section 1692f.",4
9426,13989,473.0,"As a preliminary matter, respondent exaggerates the burdens associated with filing objections.",Respondent exaggerates the burdens associated with filing objections.,5 - The revision is more concise and maintains the original meaning.
9427,13990,473.0,"As a preliminary matter, respondent exaggerates the burdens associated with filing objections.","First, respondent exaggerates the burdens associated with filing objections.",4
9428,13991,473.0,"As a preliminary matter, respondent exaggerates the burdens associated with filing objections.","To begin with, respondent exaggerates the burdens associated with filing objections.",3
9429,13992,473.0,"As a preliminary matter, respondent exaggerates the burdens associated with filing objections.","To begin, respondent exaggerates the burdens associated with filing objections.",4
9430,14707,473.0,"As a preliminary matter, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.",Those courts have offered no support for the empirical assumption that any retaliation would occur immediately.,5 - The revision is more concise and maintains the original meaning.
9431,14708,473.0,"As a preliminary matter, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.","First, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.",4
9432,14709,473.0,"As a preliminary matter, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.","To begin with, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.",4
9433,14710,473.0,"As a preliminary matter, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.","To begin, those courts have offered no support for the empirical assumption that any retaliation would occur immediately.",4
9434,14831,473.0,"As a preliminary matter, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.","Respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.",5 - The revision is more concise and maintains the original meaning.
9435,14832,473.0,"As a preliminary matter, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.","First, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.",3
9436,14833,473.0,"As a preliminary matter, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.","To begin with, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.",3
9437,14834,473.0,"As a preliminary matter, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.","To begin, respondent does not con- tend that applying the statutory definition of ""whistle- blower"" would ""contradict another provision"" of the Dodd-Frank Act, thus requiring the Court to harmonize those provisions.",3
9438,14884,473.0,"As a preliminary matter, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined",Respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined,"1 - The revision is identical to the original, thus no improvement was made."
9439,14885,473.0,"As a preliminary matter, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined","First, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined",4
9440,14886,473.0,"As a preliminary matter, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined","To begin with, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined",3
9441,14887,473.0,"As a preliminary matter, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined","To begin, respond- ent's contention cannot easily be reconciled with the his- tory of the anti-retaliation provision: Congress amended an earlier version of the provision to include the defined",3
9442,15239,473.0,"As a preliminary matter, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.","This Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.","5 - The revision is more concise and maintains the original meaning. The phrase ""As a preliminary matter"" was unnecessary."
9443,15240,473.0,"As a preliminary matter, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.","First, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.",3
9444,15241,473.0,"As a preliminary matter, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.","To begin with, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.",3
9445,15242,473.0,"As a preliminary matter, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.","To begin, this Court expressly held that the wiretap orders at issue in Chavez and Giordano were facially sufficient; they stated that the underlying applications had been authorized by an Assistant Attor- ney General, when in fact they had been authorized by other individuals.",3
9446,15382,473.0,"As an initial matter, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).",The government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).,4
9447,15383,473.0,"As an initial matter, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).","First, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).",4
9448,15384,473.0,"As an initial matter, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).","To begin with, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).",3
9449,15385,473.0,"As an initial matter, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).","To begin, the government did not raise that argument in the district court or in the court of ap- peals; it argued only that the orders did not violate Title III at all (an argument it has now abandoned).",3
9450,15529,473.0,"As a preliminary matter, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.","The government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.",5 - The revision is more concise and maintains the original meaning.
9451,15530,473.0,"As a preliminary matter, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.","First, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.",4
9452,15531,473.0,"As a preliminary matter, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.","To begin with, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.",3
9453,15532,473.0,"As a preliminary matter, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.","To begin, the government did not raise its ""severance"" argument in the district court or in the court of appeals, nor did it raise it in its brief in oppo- sition to certiorari.",3
9454,15545,473.0,"As a preliminary matter, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.","While lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.",3
9455,15546,473.0,"As a preliminary matter, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.","First, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.",3
9456,15547,473.0,"As a preliminary matter, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.","To begin with, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.",3
9457,15548,473.0,"As a preliminary matter, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.","To begin, while lower courts have recognized a Fourth Amendment doctrine under which the valid portions of a search warrant may be sev- ered from the invalid portions, see U.S. Br. 34 (citing cases), this Court has never recognized, much less ap- plied, that doctrine.",3
9458,16042,473.0,"As a preliminary matter, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""","As this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""",5 - The revision is more concise and maintains the original meaning.
9459,16043,473.0,"As a preliminary matter, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""","First, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""",4
9460,16044,473.0,"As a preliminary matter, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""","To begin with, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""",3
9461,16045,473.0,"As a preliminary matter, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""","To begin, as this Court has clarified, ""while importance is undoubtedly a necessary element of materiality, importance and materiality are not synonymous.""",4
9462,16081,473.0,"As an initial matter, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.",A fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.,5 - The revision is more concise and maintains the original meaning.
9463,16082,473.0,"As an initial matter, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.","First, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.",4
9464,16083,473.0,"As an initial matter, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.","To begin with, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.",3
9465,16084,473.0,"As an initial matter, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.","To begin, a fund manager's incorrect understanding that Mr. Litvak was acting as his agent is not probative of whether a reasonable investor would have been similarly confused.",4
9466,16238,473.0,"As an initial matter, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""","It makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""",3
9467,16239,473.0,"As an initial matter, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""","First, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""",4
9468,16240,473.0,"As an initial matter, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""","To begin with, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""",3
9469,16241,473.0,"As an initial matter, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""","To begin, it makes little sense for the government to contend that its ""evidence of materi- ality in the second trial met the threshold established by Litvak I.""",3
9470,16251,473.0,"As a preliminary matter, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.","That generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.",5 - The revision is more concise and maintains the original meaning.
9471,16252,473.0,"As a preliminary matter, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.","First, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.",4
9472,16253,473.0,"As a preliminary matter, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.","To begin with, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.",3
9473,16254,473.0,"As a preliminary matter, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.","To begin, that generic ""importance"" testimony failed to con- vince the jury on nine of the ten counts.",3
9474,17598,473.0,"As an initial matter, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.","Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.",5 - The revision is more concise and maintains the original meaning.
9475,17599,473.0,"As an initial matter, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.","First, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.",4
9476,17600,473.0,"As an initial matter, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.","To begin with, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.",3
9477,17601,473.0,"As an initial matter, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.","To begin, Morro Bay did not concern ratemaking at all, but rather a public agency's denial of access to a wheeler to avoid ""loss of income"" from that wheeler as a customer.",3
10149,13019,486.0,Respondents nevertheless claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.,Respondents still claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.,3
10150,13020,486.0,Respondents nevertheless claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.,"Respondents, though, claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.","3. 1 - The revision is identical to the original, so there is no improvement."
10151,13021,486.0,Respondents nevertheless claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.,"Respondents still, claim that another statute-the NLRA-confers a right on employees to invoke class or other collective procedures.","1 - The addition of a comma after ""still"" is grammatically incorrect and disrupts the flow of the sentence, making the revision worse than the original."
10152,13202,486.0,Respondents nevertheless contend that this Court's cas- es requiring a clear congressional command are distin- guishable.,Respondents still contend that this Court's cas- es requiring a clear congressional command are distin- guishable.,3
10153,13203,486.0,Respondents nevertheless contend that this Court's cas- es requiring a clear congressional command are distin- guishable.,"Respondents, though, contend that this Court's cas- es requiring a clear congressional command are distin- guishable.",3
10154,13204,486.0,Respondents nevertheless contend that this Court's cas- es requiring a clear congressional command are distin- guishable.,"Respondents still, contend that this Court's cas- es requiring a clear congressional command are distin- guishable.",3
10155,13226,486.0,Re- spondents nevertheless insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).,Re- spondents still insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).,3
10156,13227,486.0,Re- spondents nevertheless insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).,"Re- spondents, though, insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).",3
10157,13228,486.0,Re- spondents nevertheless insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).,"Re- spondents still, insist that the NLRA precludes enforcement of the arbitration agreement as written (and that the agreement is in fact an unfair labor prac- tice).",3
10158,13410,486.0,"The court of appeals nevertheless concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""","The court of appeals still concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""",3
10159,13411,486.0,"The court of appeals nevertheless concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""","The court of appeals, though, concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""",3
10160,13412,486.0,"The court of appeals nevertheless concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""","The court of appeals still, concluded that the Code ""does not preclude an FDCPA claim in the bank­ ruptcy context.""","1 - The addition of the comma after ""still"" disrupts the flow of the sentence and does not improve clarity or conciseness."
10161,14817,486.0,"He nevertheless contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.","He still contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.",3
10162,14818,486.0,"He nevertheless contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.","He, though, contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.",3
10163,14819,486.0,"He nevertheless contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.","He still, contends that this is one of the ""admittedly rare"" cases where the Court should deviate from an unambiguous statutory definition.",3
10164,15232,486.0,"But the court of appeals nevertheless concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""","But the court of appeals still concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""",3
10165,15233,486.0,"But the court of appeals nevertheless concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""","But the court of appeals, though, concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""",3
10166,15234,486.0,"But the court of appeals nevertheless concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""","But the court of appeals still, concluded, without explanation, that ""th[e] requirement is equally applicable to motions to suppress under [Section] 2518(10)(a)(ii).""",3
10167,15570,486.0,"The district court, Chief Judge Janet C. Hall, nevertheless sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.","The district court, Chief Judge Janet C. Hall still sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.",3
10168,15571,486.0,"The district court, Chief Judge Janet C. Hall, nevertheless sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.","The district court, Chief Judge Janet C. Hall, though, sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.",3
10169,15572,486.0,"The district court, Chief Judge Janet C. Hall, nevertheless sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.","The district court, Chief Judge Janet C. Hall still, sentenced Mr. Litvak to the exact same period of imprisonment as after the first trial:  24 months.","1 - The revision made the sentence less clear by incorrectly placing ""still"" after ""Hall""."
10170,15575,486.0,"As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was nevertheless material for purposes of securities fraud.","As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was still material for purposes of securities fraud.",3
10171,15576,486.0,"As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was nevertheless material for purposes of securities fraud.","As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was, though, material for purposes of securities fraud.","1 - The revision adds an unnecessary word (""though"") that does not improve clarity or conciseness."
10172,15577,486.0,"As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was nevertheless material for purposes of securities fraud.","As was true in the first trial and appeal, the government's core theory in the retrial was that a misrepresentation made during negotiations that did not relate to the value of the security being transacted was still, material for purposes of securities fraud.",1 - The revision adds a comma that disrupts the flow of the sentence and does not improve clarity or conciseness.
10173,15707,486.0,"At the retrial, the government nevertheless sought","At the retrial, the government still sought",3
10174,15708,486.0,"At the retrial, the government nevertheless sought","At the retrial, the government, though, sought",3
10175,15709,486.0,"At the retrial, the government nevertheless sought","At the retrial, the government still, sought","1 - The revision is less clear due to the unnecessary comma after ""still""."
10176,15793,486.0,"Mr. Norris nevertheless testified that Mr. Litvak's misstatement was ""important"" to him.","Mr. Norris still testified that Mr. Litvak's misstatement was ""important"" to him.",3
10177,15794,486.0,"Mr. Norris nevertheless testified that Mr. Litvak's misstatement was ""important"" to him.","Mr. Norris, though, testified that Mr. Litvak's misstatement was ""important"" to him.",3
10178,15795,486.0,"Mr. Norris nevertheless testified that Mr. Litvak's misstatement was ""important"" to him.","Mr. Norris still, testified that Mr. Litvak's misstatement was ""important"" to him.",1 - The revision is less clear due to the misplaced comma.
10179,16803,486.0,"Apple nonetheless urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.","Apple still urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.",3
10180,16804,486.0,"Apple nonetheless urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.","Apple, though, urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.",3
10181,16805,486.0,"Apple nonetheless urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.","Apple still, urges affirmance, suggesting that the district court and  the  Federal  Circuit  did not actually apply an entire-product rule after all.","1 - The revision made the sentence less clear by replacing ""nonetheless"" with ""still,"" which does not convey the same meaning."
10182,17302,486.0,Defendants nevertheless suggest (RBS.,Defendants still suggest (RBS.,4
10183,17303,486.0,Defendants nevertheless suggest (RBS.,"Defendants, though, suggest (RBS.",3
10184,17304,486.0,Defendants nevertheless suggest (RBS.,"Defendants still, suggest (RBS.",1 - The revision is less clear and does not improve the original sentence.
10185,17572,486.0,"Asserting that the Court of Appeal's holding nevertheless offends Proposition 26, San Diego contends that Proposition 26 ""bars Metropolitan from characterizing the entirety of the State Water Project 'transportation charges' as costs that Metropolitan incurs in transporting third party water.""","Asserting that the Court of Appeal's holding still offends Proposition 26, San Diego contends that Proposition 26 ""bars Metropolitan from characterizing the entirety of the State Water Project 'transportation charges' as costs that Metropolitan incurs in transporting third party water.""",3
